ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ
ORD_0001,SKU_0267,1,WP_0101,,
ORD_0001,SKU_0246,1,WP_0058,,
ORD_0002,SKU_0156,1,WP_0074,,
ORD_0002,SKU_0063,1,WP_0152,,
ORD_0002,SKU_0123,1,WP_0093,,
ORD_0002,SKU_0005,1,WP_0022,,
ORD_0002,SKU_0047,1,WP_0078,,
ORD_0003,SKU_0057,1,WP_0004,,
ORD_0003,SKU_0272,1,WP_0116,,
ORD_0004,SKU_0144,1,WP_0119,,
ORD_0004,SKU_0097,1,WP_0039,,
ORD_0004,SKU_0180,1,WP_0041,,
ORD_0004,SKU_0037,1,WP_0034,,
ORD_0005,SKU_0183,1,WP_0030,,
ORD_0005,SKU_0175,1,WP_0108,,
ORD_0005,SKU_0151,1,WP_0060,,
ORD_0005,SKU_0315,1,WP_0144,,
ORD_0006,SKU_0023,1,WP_0050,,
ORD_0007,SKU_0211,1,WP_0088,,
ORD_0007,SKU_0319,1,WP_0158,,
ORD_0008,SKU_0127,1,WP_0016,,
ORD_0008,SKU_0208,1,WP_0147,,
ORD_0008,SKU_0286,1,WP_0071,,
ORD_0008,SKU_0237,1,WP_0131,,
ORD_0008,SKU_0228,1,WP_0043,,
ORD_0009,SKU_0268,1,WP_0101,,
ORD_0010,SKU_0259,1,WP_0156,,
ORD_0010,SKU_0100,1,WP_0053,,
ORD_0010,SKU_0286,1,WP_0071,,
ORD_0011,SKU_0317,1,WP_0165,,
ORD_0011,SKU_0305,1,WP_0124,,
ORD_0012,SKU_0076,1,WP_0062,,
ORD_0012,SKU_0007,1,WP_0021,,
ORD_0012,SKU_0148,1,WP_0067,,
ORD_0013,SKU_0143,1,WP_0120,,
ORD_0014,SKU_0274,1,WP_0137,,
ORD_0014,SKU_0235,1,WP_0136,,
ORD_0015,SKU_0048,1,WP_0078,,
ORD_0015,SKU_0066,1,WP_0052,,
ORD_0015,SKU_0112,1,WP_0061,,
ORD_0015,SKU_0326,1,WP_0085,,
ORD_0015,SKU_0296,1,WP_0097,,
ORD_0016,SKU_0068,1,WP_0033,,
ORD_0016,SKU_0244,1,WP_0058,,
ORD_0016,SKU_0068,1,WP_0033,,
ORD_0017,SKU_0112,1,WP_0061,,
ORD_0018,SKU_0307,1,WP_0115,,
ORD_0018,SKU_0202,1,WP_0059,,
ORD_0018,SKU_0221,1,WP_0042,,
ORD_0019,SKU_0315,1,WP_0144,,
ORD_0019,SKU_0053,1,WP_0011,,
ORD_0019,SKU_0309,1,WP_0138,,
ORD_0020,SKU_0029,1,WP_0024,,
ORD_0020,SKU_0158,1,WP_0133,,
ORD_0020,SKU_0204,1,WP_0073,,
ORD_0020,SKU_0294,1,WP_0159,,
ORD_0021,SKU_0030,1,WP_0005,,
ORD_0022,SKU_0256,1,WP_0163,,
ORD_0023,SKU_0277,1,WP_0130,,
ORD_0023,SKU_0277,1,WP_0130,,
ORD_0023,SKU_0297,1,WP_0097,,
ORD_0023,SKU_0038,1,WP_0051,,
ORD_0023,SKU_0185,1,WP_0044,,
ORD_0024,SKU_0285,1,WP_0071,,
ORD_0025,SKU_0226,1,WP_0029,,
ORD_0025,SKU_0291,1,WP_0145,,
ORD_0025,SKU_0308,1,WP_0138,,
ORD_0025,SKU_0029,1,WP_0024,,
ORD_0025,SKU_0138,1,WP_0031,,
ORD_0026,SKU_0121,1,WP_0002,,
ORD_0026,SKU_0134,1,WP_0040,,
ORD_0026,SKU_0266,1,WP_0110,,
ORD_0026,SKU_0040,1,WP_0048,,
ORD_0026,SKU_0291,1,WP_0145,,
ORD_0027,SKU_0100,1,WP_0053,,
ORD_0028,SKU_0031,1,WP_0005,,
ORD_0028,SKU_0074,1,WP_0065,,
ORD_0029,SKU_0232,1,WP_0117,,
ORD_0029,SKU_0203,1,WP_0073,,
ORD_0030,SKU_0203,1,WP_0073,,
ORD_0030,SKU_0191,1,WP_0135,,
ORD_0030,SKU_0243,1,WP_0083,,
ORD_0030,SKU_0205,1,WP_0148,,
ORD_0030,SKU_0242,1,WP_0083,,
ORD_0031,SKU_0301,1,WP_0086,,
ORD_0031,SKU_0016,1,WP_0020,,
ORD_0032,SKU_0218,1,WP_0162,,
ORD_0032,SKU_0278,1,WP_0152,,
ORD_0032,SKU_0108,1,WP_0046,,
ORD_0032,SKU_0302,1,WP_0100,,
ORD_0032,SKU_0138,1,WP_0031,,
ORD_0033,SKU_0010,1,WP_0009,,
ORD_0033,SKU_0193,1,WP_0132,,
ORD_0033,SKU_0060,1,WP_0018,,
ORD_0034,SKU_0092,1,WP_0017,,
ORD_0034,SKU_0115,1,WP_0075,,
ORD_0034,SKU_0239,1,WP_0069,,
ORD_0035,SKU_0235,1,WP_0136,,
ORD_0035,SKU_0325,1,WP_0112,,
ORD_0036,SKU_0291,1,WP_0145,,
ORD_0036,SKU_0114,1,WP_0080,,
ORD_0036,SKU_0260,1,WP_0096,,
ORD_0036,SKU_0053,1,WP_0011,,
ORD_0037,SKU_0025,1,WP_0049,,
ORD_0038,SKU_0017,1,WP_0036,,
ORD_0039,SKU_0131,1,WP_0107,,
ORD_0039,SKU_0302,1,WP_0100,,
ORD_0039,SKU_0151,1,WP_0060,,
ORD_0039,SKU_0127,1,WP_0016,,
ORD_0039,SKU_0251,1,WP_0149,,
ORD_0040,SKU_0234,1,WP_0117,,
ORD_0040,SKU_0050,1,WP_0077,,
ORD_0040,SKU_0200,1,WP_0082,,
ORD_0041,SKU_0213,1,WP_0109,,
ORD_0041,SKU_0032,1,WP_0019,,
ORD_0041,SKU_0101,1,WP_0053,,
ORD_0042,SKU_0288,1,WP_0150,,
ORD_0042,SKU_0089,1,WP_0003,,
ORD_0043,SKU_0172,1,WP_0015,,
ORD_0043,SKU_0012,1,WP_0023,,
ORD_0043,SKU_0093,1,WP_0017,,
ORD_0043,SKU_0100,1,WP_0053,,
ORD_0043,SKU_0213,1,WP_0109,,
ORD_0044,SKU_0142,1,WP_0120,,
ORD_0044,SKU_0208,1,WP_0147,,
ORD_0045,SKU_0173,1,WP_0089,,
ORD_0045,SKU_0089,1,WP_0003,,
ORD_0045,SKU_0277,1,WP_0130,,
ORD_0046,SKU_0303,1,WP_0100,,
ORD_0046,SKU_0016,1,WP_0020,,
ORD_0046,SKU_0293,1,WP_0164,,
ORD_0046,SKU_0018,1,WP_0036,,
ORD_0046,SKU_0251,1,WP_0149,,
ORD_0047,SKU_0180,1,WP_0041,,
ORD_0048,SKU_0130,1,WP_0107,,
ORD_0048,SKU_0233,1,WP_0142,,
ORD_0049,SKU_0251,1,WP_0149,,
ORD_0049,SKU_0265,1,WP_0110,,
ORD_0049,SKU_0035,1,WP_0037,,
ORD_0050,SKU_0200,1,WP_0082,,
ORD_0050,SKU_0285,1,WP_0071,,
ORD_0050,SKU_0054,1,WP_0025,,
ORD_0051,SKU_0091,1,WP_0092,,
ORD_0051,SKU_0036,1,WP_0034,,
ORD_0051,SKU_0070,1,WP_0047,,
ORD_0051,SKU_0292,1,WP_0164,,
ORD_0052,SKU_0309,1,WP_0138,,
ORD_0052,SKU_0062,1,WP_0038,,
ORD_0052,SKU_0045,1,WP_0063,,
ORD_0052,SKU_0039,1,WP_0051,,
ORD_0052,SKU_0252,1,WP_0149,,
ORD_0053,SKU_0170,1,WP_0015,,
ORD_0053,SKU_0153,1,WP_0134,,
ORD_0053,SKU_0242,1,WP_0083,,
ORD_0053,SKU_0200,1,WP_0082,,
ORD_0054,SKU_0281,1,WP_0084,,
ORD_0054,SKU_0335,1,WP_0114,,
ORD_0054,SKU_0254,1,WP_0146,,
ORD_0055,SKU_0008,1,WP_0021,,
ORD_0055,SKU_0255,1,WP_0163,,
ORD_0055,SKU_0170,1,WP_0015,,
ORD_0056,SKU_0058,1,WP_0018,,
ORD_0056,SKU_0274,1,WP_0137,,
ORD_0056,SKU_0190,1,WP_0118,,
ORD_0056,SKU_0159,1,WP_0014,,
ORD_0057,SKU_0038,1,WP_0051,,
ORD_0057,SKU_0158,1,WP_0133,,
ORD_0057,SKU_0115,1,WP_0075,,
ORD_0057,SKU_0177,1,WP_0103,,
ORD_0058,SKU_0179,1,WP_0041,,
ORD_0058,SKU_0201,1,WP_0059,,
ORD_0059,SKU_0165,1,WP_0001,,
ORD_0059,SKU_0084,1,WP_0012,,
ORD_0059,SKU_0034,1,WP_0037,,
ORD_0059,SKU_0137,1,WP_0054,,
ORD_0059,SKU_0157,1,WP_0133,,
ORD_0060,SKU_0306,1,WP_0115,,
ORD_0061,SKU_0039,1,WP_0051,,
ORD_0062,SKU_0063,1,WP_0152,,
ORD_0062,SKU_0304,1,WP_0124,,
ORD_0063,SKU_0101,1,WP_0053,,
ORD_0063,SKU_0217,1,WP_0162,,
ORD_0063,SKU_0073,1,WP_0065,,
ORD_0063,SKU_0288,1,WP_0150,,
ORD_0063,SKU_0273,1,WP_0116,,
ORD_0064,SKU_0231,1,WP_0140,,
ORD_0065,SKU_0249,1,WP_0155,,
ORD_0065,SKU_0124,1,WP_0156,,
ORD_0066,SKU_0252,1,WP_0149,,
ORD_0066,SKU_0179,1,WP_0041,,
ORD_0067,SKU_0212,1,WP_0088,,
ORD_0067,SKU_0329,1,WP_0099,,
ORD_0068,SKU_0195,1,WP_0132,,
ORD_0068,SKU_0203,1,WP_0073,,
ORD_0069,SKU_0187,1,WP_0121,,
ORD_0069,SKU_0281,1,WP_0084,,
ORD_0070,SKU_0106,1,WP_0032,,
ORD_0070,SKU_0200,1,WP_0082,,
ORD_0070,SKU_0043,1,WP_0064,,
ORD_0070,SKU_0232,1,WP_0117,,
ORD_0070,SKU_0143,1,WP_0120,,
ORD_0071,SKU_0137,1,WP_0054,,
ORD_0071,SKU_0171,1,WP_0140,,
ORD_0071,SKU_0283,1,WP_0057,,
ORD_0071,SKU_0136,1,WP_0054,,
ORD_0072,SKU_0011,1,WP_0023,,
ORD_0072,SKU_0040,1,WP_0048,,
ORD_0073,SKU_0271,1,WP_0123,,
ORD_0073,SKU_0099,1,WP_0106,,
ORD_0073,SKU_0122,1,WP_0002,,
ORD_0074,SKU_0084,1,WP_0012,,
ORD_0074,SKU_0254,1,WP_0146,,
ORD_0074,SKU_0117,1,WP_0013,,
ORD_0074,SKU_0220,1,WP_0161,,
ORD_0075,SKU_0016,1,WP_0020,,
ORD_0075,SKU_0121,1,WP_0002,,
ORD_0075,SKU_0026,1,WP_0010,,
ORD_0075,SKU_0240,1,WP_0069,,
ORD_0075,SKU_0127,1,WP_0016,,
ORD_0076,SKU_0032,1,WP_0019,,
ORD_0076,SKU_0195,1,WP_0132,,
ORD_0076,SKU_0111,1,WP_0061,,
ORD_0077,SKU_0113,1,WP_0080,,
ORD_0077,SKU_0230,1,WP_0122,,
ORD_0077,SKU_0208,1,WP_0147,,
ORD_0078,SKU_0246,1,WP_0058,,
ORD_0078,SKU_0274,1,WP_0137,,
ORD_0078,SKU_0098,1,WP_0106,,
ORD_0078,SKU_0309,1,WP_0138,,
ORD_0078,SKU_0284,1,WP_0057,,
ORD_0079,SKU_0215,1,WP_0102,,
ORD_0079,SKU_0298,1,WP_0111,,
ORD_0079,SKU_0161,1,WP_0014,,
ORD_0079,SKU_0142,1,WP_0120,,
ORD_0080,SKU_0299,1,WP_0111,,
ORD_0080,SKU_0309,1,WP_0138,,
ORD_0080,SKU_0276,1,WP_0130,,
ORD_0081,SKU_0037,1,WP_0034,,
ORD_0081,SKU_0033,1,WP_0019,,
ORD_0081,SKU_0221,1,WP_0042,,
ORD_0081,SKU_0224,1,WP_0056,,
ORD_0081,SKU_0009,1,WP_0009,,
ORD_0082,SKU_0116,1,WP_0075,,
ORD_0082,SKU_0189,1,WP_0118,,
ORD_0082,SKU_0129,1,WP_0090,,
ORD_0082,SKU_0306,1,WP_0115,,
ORD_0082,SKU_0258,1,WP_0160,,
ORD_0083,SKU_0321,1,WP_0141,,
ORD_0084,SKU_0223,1,WP_0056,,
ORD_0085,SKU_0120,1,WP_0027,,
ORD_0085,SKU_0253,1,WP_0146,,
ORD_0085,SKU_0159,1,WP_0014,,
ORD_0085,SKU_0176,1,WP_0108,,
ORD_0086,SKU_0236,1,WP_0136,,
ORD_0086,SKU_0316,1,WP_0165,,
ORD_0086,SKU_0106,1,WP_0032,,
ORD_0086,SKU_0120,1,WP_0027,,
ORD_0087,SKU_0136,1,WP_0054,,
ORD_0087,SKU_0028,1,WP_0024,,
ORD_0087,SKU_0044,1,WP_0063,,
ORD_0088,SKU_0046,1,WP_0153,,
ORD_0089,SKU_0209,1,WP_0095,,
ORD_0089,SKU_0056,1,WP_0004,,
ORD_0089,SKU_0269,1,WP_0123,,
ORD_0089,SKU_0053,1,WP_0011,,
ORD_0089,SKU_0222,1,WP_0042,,
ORD_0090,SKU_0126,1,WP_0016,,
ORD_0090,SKU_0219,1,WP_0161,,
ORD_0090,SKU_0317,1,WP_0165,,
ORD_0090,SKU_0077,1,WP_0079,,
ORD_0090,SKU_0307,1,WP_0115,,
ORD_0091,SKU_0275,1,WP_0137,,
ORD_0091,SKU_0156,1,WP_0074,,
ORD_0091,SKU_0333,1,WP_0139,,
ORD_0091,SKU_0013,1,WP_0006,,
ORD_0091,SKU_0272,1,WP_0116,,
ORD_0092,SKU_0022,1,WP_0167,,
ORD_0093,SKU_0332,1,WP_0155,,
ORD_0094,SKU_0021,1,WP_0050,,
ORD_0094,SKU_0195,1,WP_0132,,
ORD_0094,SKU_0180,1,WP_0041,,
ORD_0094,SKU_0185,1,WP_0044,,
ORD_0095,SKU_0164,1,WP_0001,,
ORD_0095,SKU_0123,1,WP_0093,,
ORD_0095,SKU_0136,1,WP_0054,,
ORD_0095,SKU_0300,1,WP_0086,,
ORD_0096,SKU_0122,1,WP_0002,,
ORD_0096,SKU_0333,1,WP_0139,,
ORD_0096,SKU_0112,1,WP_0061,,
ORD_0096,SKU_0304,1,WP_0124,,
ORD_0097,SKU_0065,1,WP_0128,,
ORD_0097,SKU_0132,1,WP_0104,,
ORD_0097,SKU_0081,1,WP_0076,,
ORD_0097,SKU_0306,1,WP_0115,,
ORD_0098,SKU_0273,1,WP_0116,,
ORD_0098,SKU_0100,1,WP_0053,,
ORD_0098,SKU_0243,1,WP_0083,,
ORD_0099,SKU_0178,1,WP_0103,,
ORD_0099,SKU_0307,1,WP_0115,,
ORD_0099,SKU_0149,1,WP_0081,,
ORD_0099,SKU_0219,1,WP_0161,,
ORD_0100,SKU_0224,1,WP_0056,,
ORD_0100,SKU_0290,1,WP_0145,,
ORD_0100,SKU_0067,1,WP_0052,,
ORD_0101,SKU_0041,1,WP_0048,,
ORD_0102,SKU_0266,1,WP_0110,,
ORD_0102,SKU_0025,1,WP_0049,,
ORD_0103,SKU_0009,1,WP_0009,,
ORD_0103,SKU_0080,1,WP_0076,,
ORD_0103,SKU_0027,1,WP_0010,,
ORD_0104,SKU_0325,1,WP_0112,,
ORD_0104,SKU_0115,1,WP_0075,,
ORD_0104,SKU_0038,1,WP_0051,,
ORD_0105,SKU_0280,1,WP_0070,,
ORD_0105,SKU_0253,1,WP_0146,,
ORD_0105,SKU_0300,1,WP_0086,,
ORD_0105,SKU_0253,1,WP_0146,,
ORD_0105,SKU_0317,1,WP_0165,,
ORD_0106,SKU_0197,1,WP_0068,,
ORD_0106,SKU_0163,1,WP_0028,,
ORD_0106,SKU_0283,1,WP_0057,,
ORD_0107,SKU_0141,1,WP_0045,,
ORD_0108,SKU_0001,1,WP_0008,,
ORD_0109,SKU_0073,1,WP_0065,,
ORD_0109,SKU_0098,1,WP_0106,,
ORD_0109,SKU_0188,1,WP_0121,,
ORD_0109,SKU_0119,1,WP_0027,,
ORD_0110,SKU_0095,1,WP_0091,,
ORD_0110,SKU_0142,1,WP_0120,,
ORD_0110,SKU_0314,1,WP_0144,,
ORD_0111,SKU_0336,1,WP_0114,,
ORD_0111,SKU_0323,1,WP_0098,,
ORD_0111,SKU_0189,1,WP_0118,,
ORD_0112,SKU_0174,1,WP_0089,,
ORD_0112,SKU_0138,1,WP_0031,,
ORD_0112,SKU_0036,1,WP_0034,,
ORD_0112,SKU_0076,1,WP_0062,,
ORD_0113,SKU_0276,1,WP_0130,,
ORD_0113,SKU_0276,1,WP_0130,,
ORD_0114,SKU_0019,1,WP_0035,,
ORD_0115,SKU_0302,1,WP_0100,,
ORD_0115,SKU_0230,1,WP_0122,,
ORD_0115,SKU_0250,1,WP_0072,,
ORD_0115,SKU_0237,1,WP_0131,,
ORD_0115,SKU_0083,1,WP_0012,,
ORD_0116,SKU_0294,1,WP_0159,,
ORD_0117,SKU_0207,1,WP_0147,,
ORD_0118,SKU_0292,1,WP_0164,,
ORD_0118,SKU_0136,1,WP_0054,,
ORD_0118,SKU_0210,1,WP_0095,,
ORD_0119,SKU_0225,1,WP_0029,,
ORD_0119,SKU_0203,1,WP_0073,,
ORD_0119,SKU_0045,1,WP_0063,,
ORD_0119,SKU_0215,1,WP_0102,,
ORD_0120,SKU_0115,1,WP_0075,,
ORD_0120,SKU_0213,1,WP_0109,,
ORD_0120,SKU_0136,1,WP_0054,,
ORD_0120,SKU_0265,1,WP_0110,,
ORD_0120,SKU_0130,1,WP_0107,,
ORD_0121,SKU_0078,1,WP_0143,,
ORD_0121,SKU_0029,1,WP_0024,,
ORD_0121,SKU_0290,1,WP_0145,,
ORD_0121,SKU_0166,1,WP_0094,,
ORD_0122,SKU_0310,1,WP_0129,,
ORD_0122,SKU_0293,1,WP_0164,,
ORD_0122,SKU_0272,1,WP_0116,,
ORD_0122,SKU_0187,1,WP_0121,,
ORD_0122,SKU_0319,1,WP_0158,,
ORD_0123,SKU_0324,1,WP_0112,,
ORD_0123,SKU_0139,1,WP_0031,,
ORD_0123,SKU_0006,1,WP_0022,,
ORD_0123,SKU_0270,1,WP_0126,,
ORD_0124,SKU_0270,1,WP_0126,,
ORD_0124,SKU_0279,1,WP_0070,,
ORD_0124,SKU_0018,1,WP_0036,,
ORD_0124,SKU_0223,1,WP_0056,,
ORD_0125,SKU_0194,1,WP_0166,,
ORD_0125,SKU_0178,1,WP_0103,,
ORD_0126,SKU_0320,1,WP_0098,,
ORD_0126,SKU_0062,1,WP_0038,,
ORD_0127,SKU_0323,1,WP_0098,,
ORD_0127,SKU_0279,1,WP_0070,,
ORD_0128,SKU_0045,1,WP_0063,,
ORD_0128,SKU_0183,1,WP_0030,,
ORD_0129,SKU_0015,1,WP_0020,,
ORD_0130,SKU_0298,1,WP_0111,,
ORD_0130,SKU_0065,1,WP_0128,,
ORD_0130,SKU_0191,1,WP_0135,,
ORD_0130,SKU_0130,1,WP_0107,,
ORD_0130,SKU_0225,1,WP_0029,,
ORD_0131,SKU_0003,1,WP_0007,,
ORD_0131,SKU_0015,1,WP_0020,,
ORD_0132,SKU_0133,1,WP_0104,,
ORD_0132,SKU_0189,1,WP_0118,,
ORD_0132,SKU_0191,1,WP_0135,,
ORD_0132,SKU_0032,1,WP_0019,,
ORD_0132,SKU_0200,1,WP_0082,,
ORD_0133,SKU_0129,1,WP_0090,,
ORD_0133,SKU_0020,1,WP_0035,,
ORD_0134,SKU_0328,1,WP_0099,,
ORD_0134,SKU_0016,1,WP_0020,,
ORD_0134,SKU_0032,1,WP_0019,,
ORD_0134,SKU_0197,1,WP_0068,,
ORD_0135,SKU_0245,1,WP_0153,,
ORD_0136,SKU_0222,1,WP_0042,,
ORD_0136,SKU_0032,1,WP_0019,,
ORD_0136,SKU_0276,1,WP_0130,,
ORD_0137,SKU_0335,1,WP_0114,,
ORD_0138,SKU_0287,1,WP_0154,,
ORD_0139,SKU_0314,1,WP_0144,,
ORD_0140,SKU_0214,1,WP_0109,,
ORD_0140,SKU_0276,1,WP_0130,,
ORD_0140,SKU_0110,1,WP_0066,,
ORD_0141,SKU_0069,1,WP_0033,,
ORD_0141,SKU_0010,1,WP_0009,,
ORD_0141,SKU_0132,1,WP_0104,,
ORD_0142,SKU_0081,1,WP_0076,,
ORD_0142,SKU_0210,1,WP_0095,,
ORD_0142,SKU_0251,1,WP_0149,,
ORD_0143,SKU_0154,1,WP_0134,,
ORD_0143,SKU_0288,1,WP_0150,,
ORD_0143,SKU_0079,1,WP_0079,,
ORD_0143,SKU_0324,1,WP_0112,,
