ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ
ORD_0330,SKU_0242,1,WP_0001,1,1
ORD_0056,SKU_0274,1,WP_0120,1,2
ORD_0138,SKU_0287,1,WP_0155,1,3
ORD_0088,SKU_0046,1,WP_0156,1,4
ORD_0092,SKU_0022,1,WP_0156,1,5
ORD_0319,SKU_0196,1,WP_0158,1,6
ORD_0056,SKU_0159,1,WP_0159,1,7
ORD_0319,SKU_0330,1,WP_0160,1,8
ORD_0251,SKU_0002,1,WP_0161,1,9
ORD_0330,SKU_0070,1,WP_0161,1,10
ORD_0330,SKU_0002,1,WP_0161,1,11
ORD_0056,SKU_0058,1,WP_0162,1,12
ORD_0056,SKU_0190,1,WP_0162,1,13
ORD_0288,SKU_0190,1,WP_0162,1,14
ORD_0421,SKU_0058,1,WP_0162,1,15
ORD_0224,SKU_0135,1,WP_0163,1,16
ORD_0180,SKU_0148,1,WP_0165,1,17
ORD_0156,SKU_0052,1,WP_0166,1,18
ORD_0300,SKU_0086,1,WP_0168,1,19
ORD_0095,SKU_0300,1,WP_0002,2,1
ORD_0008,SKU_0127,1,WP_0005,2,2
ORD_0076,SKU_0195,1,WP_0009,2,3
ORD_0086,SKU_0106,1,WP_0010,2,4
ORD_0189,SKU_0043,1,WP_0010,2,5
ORD_0086,SKU_0120,1,WP_0016,2,6
ORD_0076,SKU_0032,1,WP_0019,2,7
ORD_0095,SKU_0123,1,WP_0023,2,8
ORD_0008,SKU_0208,1,WP_0024,2,9
ORD_0189,SKU_0006,1,WP_0027,2,10
ORD_0086,SKU_0316,1,WP_0058,2,11
ORD_0095,SKU_0136,1,WP_0062,2,12
ORD_0189,SKU_0292,1,WP_0062,2,13
ORD_0008,SKU_0228,1,WP_0065,2,14
ORD_0008,SKU_0286,1,WP_0067,2,15
ORD_0076,SKU_0111,1,WP_0070,2,16
ORD_0008,SKU_0237,1,WP_0074,2,17
ORD_0086,SKU_0236,1,WP_0133,2,18
ORD_0095,SKU_0164,1,WP_0152,2,19
ORD_0005,SKU_0315,1,WP_0045,3,1
ORD_0054,SKU_0254,1,WP_0050,3,2
ORD_0467,SKU_0254,1,WP_0050,3,3
ORD_0418,SKU_0334,1,WP_0051,3,4
ORD_0467,SKU_0271,1,WP_0073,3,5
ORD_0418,SKU_0202,1,WP_0075,3,6
ORD_0005,SKU_0183,1,WP_0077,3,7
ORD_0005,SKU_0151,1,WP_0077,3,8
ORD_0054,SKU_0335,1,WP_0083,3,9
ORD_0467,SKU_0008,1,WP_0083,3,10
ORD_0005,SKU_0175,1,WP_0106,3,11
ORD_0054,SKU_0281,1,WP_0139,3,12
ORD_0259,SKU_0333,1,WP_0088,4,1
ORD_0069,SKU_0187,1,WP_0089,4,2
ORD_0259,SKU_0118,1,WP_0090,4,3
ORD_0066,SKU_0252,1,WP_0094,4,4
ORD_0259,SKU_0188,1,WP_0130,4,5
ORD_0066,SKU_0179,1,WP_0136,4,6
ORD_0069,SKU_0281,1,WP_0139,4,7
ORD_0106,SKU_0197,1,WP_0030,5,1
ORD_0106,SKU_0283,1,WP_0030,5,2
ORD_0186,SKU_0197,1,WP_0030,5,3
ORD_0191,SKU_0283,1,WP_0030,5,4
ORD_0390,SKU_0283,1,WP_0030,5,5
ORD_0107,SKU_0141,1,WP_0031,5,6
ORD_0380,SKU_0204,1,WP_0031,5,7
ORD_0380,SKU_0141,1,WP_0031,5,8
ORD_0340,SKU_0049,1,WP_0032,5,9
