ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ,PICKER_NO,BATCH_NO
ORD_0052,SKU_0309,1,WP_0138,1,4,1.0,1.0
ORD_0052,SKU_0062,1,WP_0029,1,16,1.0,1.0
ORD_0052,SKU_0045,1,WP_0011,1,1,1.0,1.0
ORD_0052,SKU_0039,1,WP_0155,1,13,1.0,1.0
ORD_0052,SKU_0252,1,WP_0146,1,11,1.0,1.0
ORD_0233,SKU_0013,1,WP_0135,1,5,1.0,1.0
ORD_0233,SKU_0315,1,WP_0134,1,6,1.0,1.0
ORD_0233,SKU_0209,1,WP_0083,1,2,1.0,1.0
ORD_0233,SKU_0103,1,WP_0087,1,14,1.0,1.0
ORD_0233,SKU_0031,1,WP_0165,1,7,1.0,1.0
ORD_0259,SKU_0188,1,WP_0118,1,9,1.0,1.0
ORD_0259,SKU_0333,1,WP_0043,1,15,1.0,1.0
ORD_0259,SKU_0118,1,WP_0164,1,8,1.0,1.0
ORD_0329,SKU_0264,1,WP_0147,1,10,1.0,1.0
ORD_0329,SKU_0052,1,WP_0144,1,12,1.0,1.0
ORD_0329,SKU_0331,1,WP_0110,1,3,1.0,1.0
ORD_0329,SKU_0017,1,WP_0044,1,17,1.0,1.0
ORD_0396,SKU_0264,1,WP_0147,2,9,2.0,1.0
ORD_0396,SKU_0162,1,WP_0114,2,6,2.0,1.0
ORD_0402,SKU_0301,1,WP_0120,2,11,2.0,1.0
ORD_0402,SKU_0225,1,WP_0037,2,1,2.0,1.0
ORD_0402,SKU_0040,1,WP_0105,2,8,2.0,1.0
ORD_0402,SKU_0081,1,WP_0081,2,14,2.0,1.0
ORD_0402,SKU_0004,1,WP_0108,2,12,2.0,1.0
ORD_0409,SKU_0118,1,WP_0164,2,10,2.0,1.0
ORD_0409,SKU_0012,1,WP_0084,2,15,2.0,1.0
ORD_0409,SKU_0129,1,WP_0033,2,2,2.0,1.0
ORD_0409,SKU_0280,1,WP_0065,2,13,2.0,1.0
ORD_0409,SKU_0049,1,WP_0028,2,16,2.0,1.0
ORD_0476,SKU_0292,1,WP_0131,2,7,2.0,1.0
ORD_0476,SKU_0303,1,WP_0015,2,4,2.0,1.0
ORD_0476,SKU_0183,1,WP_0074,2,5,2.0,1.0
ORD_0476,SKU_0297,1,WP_0016,2,3,2.0,1.0
ORD_0476,SKU_0220,1,WP_0013,2,17,2.0,1.0
ORD_0247,SKU_0125,1,WP_0053,3,3,3.0,1.0
ORD_0247,SKU_0289,1,WP_0075,3,9,3.0,1.0
ORD_0247,SKU_0020,1,WP_0082,3,4,3.0,1.0
ORD_0247,SKU_0232,1,WP_0011,3,1,3.0,1.0
ORD_0247,SKU_0075,1,WP_0161,3,11,3.0,1.0
ORD_0248,SKU_0055,1,WP_0128,3,15,3.0,1.0
ORD_0248,SKU_0147,1,WP_0147,3,12,3.0,1.0
ORD_0248,SKU_0302,1,WP_0006,3,19,3.0,1.0
ORD_0248,SKU_0135,1,WP_0130,3,13,3.0,1.0
ORD_0334,SKU_0074,1,WP_0030,3,17,3.0,1.0
ORD_0334,SKU_0112,1,WP_0031,3,18,3.0,1.0
ORD_0334,SKU_0184,1,WP_0099,3,16,3.0,1.0
ORD_0334,SKU_0126,1,WP_0092,3,8,3.0,1.0
ORD_0334,SKU_0262,1,WP_0130,3,14,3.0,1.0
ORD_0386,SKU_0254,1,WP_0077,3,10,3.0,1.0
ORD_0386,SKU_0189,1,WP_0050,3,2,3.0,1.0
ORD_0386,SKU_0215,1,WP_0153,3,6,3.0,1.0
ORD_0386,SKU_0269,1,WP_0098,3,5,3.0,1.0
ORD_0386,SKU_0316,1,WP_0149,3,7,3.0,1.0
ORD_0178,SKU_0312,1,WP_0126,4,5,4.0,1.0
ORD_0178,SKU_0260,1,WP_0070,4,6,4.0,1.0
ORD_0178,SKU_0178,1,WP_0125,4,4,4.0,1.0
ORD_0272,SKU_0289,1,WP_0075,4,10,4.0,1.0
ORD_0272,SKU_0302,1,WP_0006,4,17,4.0,1.0
ORD_0272,SKU_0085,1,WP_0093,4,8,4.0,1.0
ORD_0272,SKU_0078,1,WP_0030,4,14,4.0,1.0
ORD_0355,SKU_0066,1,WP_0066,4,7,4.0,1.0
ORD_0355,SKU_0128,1,WP_0024,4,1,4.0,1.0
ORD_0355,SKU_0023,1,WP_0133,4,9,4.0,1.0
ORD_0355,SKU_0088,1,WP_0056,4,3,4.0,1.0
ORD_0355,SKU_0242,1,WP_0002,4,16,4.0,1.0
ORD_0461,SKU_0098,1,WP_0048,4,11,4.0,1.0
ORD_0461,SKU_0074,1,WP_0030,4,15,4.0,1.0
ORD_0461,SKU_0286,1,WP_0052,4,2,4.0,1.0
ORD_0461,SKU_0313,1,WP_0044,4,12,4.0,1.0
ORD_0461,SKU_0017,1,WP_0044,4,13,4.0,1.0
ORD_0025,SKU_0226,1,WP_0088,5,9,1.0,2.0
ORD_0025,SKU_0291,1,WP_0070,5,3,1.0,2.0
ORD_0025,SKU_0308,1,WP_0111,5,20,1.0,2.0
ORD_0025,SKU_0029,1,WP_0059,5,13,1.0,2.0
ORD_0025,SKU_0138,1,WP_0095,5,17,1.0,2.0
ORD_0175,SKU_0138,1,WP_0095,5,18,1.0,2.0
ORD_0175,SKU_0226,1,WP_0088,5,10,1.0,2.0
ORD_0175,SKU_0034,1,WP_0139,5,5,1.0,2.0
ORD_0175,SKU_0173,1,WP_0013,5,2,1.0,2.0
ORD_0175,SKU_0250,1,WP_0012,5,1,1.0,2.0
ORD_0192,SKU_0035,1,WP_0076,5,15,1.0,2.0
ORD_0192,SKU_0210,1,WP_0071,5,11,1.0,2.0
ORD_0192,SKU_0324,1,WP_0058,5,12,1.0,2.0
ORD_0192,SKU_0257,1,WP_0160,5,6,1.0,2.0
ORD_0192,SKU_0085,1,WP_0093,5,16,1.0,2.0
ORD_0260,SKU_0163,1,WP_0100,5,8,1.0,2.0
ORD_0260,SKU_0178,1,WP_0125,5,4,1.0,2.0
ORD_0260,SKU_0193,1,WP_0141,5,7,1.0,2.0
ORD_0260,SKU_0238,1,WP_0097,5,19,1.0,2.0
ORD_0260,SKU_0029,1,WP_0059,5,14,1.0,2.0
ORD_0364,SKU_0282,1,WP_0161,6,6,2.0,2.0
ORD_0364,SKU_0090,1,WP_0086,6,2,2.0,2.0
ORD_0364,SKU_0115,1,WP_0136,6,9,2.0,2.0
ORD_0364,SKU_0137,1,WP_0080,6,14,2.0,2.0
ORD_0364,SKU_0201,1,WP_0081,6,13,2.0,2.0
ORD_0374,SKU_0264,1,WP_0147,6,7,2.0,2.0
ORD_0374,SKU_0238,1,WP_0097,6,11,2.0,2.0
ORD_0388,SKU_0323,1,WP_0127,6,4,2.0,2.0
ORD_0388,SKU_0321,1,WP_0158,6,5,2.0,2.0
