ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ,PICKER_NO,BATCH_NO
ORD_0001,SKU_0267,1,WP_0022,1,2,1.0,12.0
ORD_0001,SKU_0246,1,WP_0056,1,5,1.0,12.0
ORD_0002,SKU_0156,1,WP_0006,2,4,2.0,4.0
ORD_0002,SKU_0063,1,WP_0144,2,11,2.0,4.0
ORD_0002,SKU_0123,1,WP_0003,2,5,2.0,4.0
ORD_0002,SKU_0005,1,WP_0079,2,15,2.0,4.0
ORD_0002,SKU_0047,1,WP_0127,2,9,2.0,4.0
ORD_0003,SKU_0057,1,WP_0160,3,7,1.0,22.0
ORD_0003,SKU_0272,1,WP_0036,3,3,1.0,22.0
ORD_0004,SKU_0144,1,WP_0166,4,9,2.0,15.0
ORD_0004,SKU_0097,1,WP_0152,4,10,2.0,15.0
ORD_0004,SKU_0180,1,WP_0047,4,3,2.0,15.0
ORD_0004,SKU_0037,1,WP_0013,4,6,2.0,15.0
ORD_0005,SKU_0183,1,WP_0092,5,7,2.0,17.0
ORD_0005,SKU_0175,1,WP_0056,5,2,2.0,17.0
ORD_0005,SKU_0151,1,WP_0079,5,8,2.0,17.0
ORD_0005,SKU_0315,1,WP_0096,5,4,2.0,17.0
ORD_0006,SKU_0023,1,WP_0129,6,2,4.0,19.0
ORD_0007,SKU_0211,1,WP_0156,9,4,4.0,16.0
ORD_0007,SKU_0319,1,WP_0087,9,3,4.0,16.0
ORD_0008,SKU_0127,1,WP_0027,10,4,4.0,5.0
ORD_0008,SKU_0208,1,WP_0028,10,5,4.0,5.0
ORD_0008,SKU_0286,1,WP_0136,10,10,4.0,5.0
ORD_0008,SKU_0237,1,WP_0042,10,6,4.0,5.0
ORD_0008,SKU_0228,1,WP_0121,10,11,4.0,5.0
ORD_0009,SKU_0268,1,WP_0086,11,8,2.0,20.0
ORD_0010,SKU_0259,1,WP_0165,14,7,2.0,22.0
ORD_0010,SKU_0100,1,WP_0018,14,3,2.0,22.0
ORD_0010,SKU_0286,1,WP_0136,14,5,2.0,22.0
ORD_0011,SKU_0317,1,WP_0005,14,2,2.0,22.0
ORD_0011,SKU_0305,1,WP_0050,14,1,2.0,22.0
ORD_0012,SKU_0076,1,WP_0115,16,8,3.0,22.0
ORD_0012,SKU_0007,1,WP_0078,16,2,3.0,22.0
ORD_0012,SKU_0148,1,WP_0159,16,5,3.0,22.0
ORD_0013,SKU_0143,1,WP_0038,16,1,3.0,22.0
ORD_0014,SKU_0274,1,WP_0161,19,3,1.0,27.0
ORD_0014,SKU_0235,1,WP_0126,19,5,1.0,27.0
ORD_0015,SKU_0048,1,WP_0034,2,2,2.0,4.0
ORD_0015,SKU_0066,1,WP_0003,2,6,2.0,4.0
ORD_0015,SKU_0112,1,WP_0147,2,13,2.0,4.0
ORD_0015,SKU_0326,1,WP_0001,2,7,2.0,4.0
ORD_0015,SKU_0296,1,WP_0162,2,14,2.0,4.0
ORD_0016,SKU_0068,1,WP_0109,20,2,2.0,12.0
ORD_0016,SKU_0244,1,WP_0124,20,8,2.0,12.0
ORD_0016,SKU_0068,1,WP_0109,20,3,2.0,12.0
ORD_0017,SKU_0112,1,WP_0147,21,4,4.0,16.0
ORD_0018,SKU_0307,1,WP_0005,24,1,3.0,23.0
ORD_0018,SKU_0202,1,WP_0086,24,7,3.0,23.0
ORD_0018,SKU_0221,1,WP_0101,24,6,3.0,23.0
ORD_0019,SKU_0315,1,WP_0096,24,4,3.0,23.0
ORD_0019,SKU_0053,1,WP_0010,24,2,3.0,23.0
ORD_0019,SKU_0309,1,WP_0065,24,3,3.0,23.0
ORD_0020,SKU_0029,1,WP_0075,26,3,2.0,24.0
ORD_0020,SKU_0158,1,WP_0059,26,4,2.0,24.0
ORD_0020,SKU_0204,1,WP_0037,26,1,2.0,24.0
