ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ
ORD_0330,SKU_0242,1,WP_0001,0,1
ORD_0056,SKU_0274,1,WP_0120,0,2
ORD_0138,SKU_0287,1,WP_0155,0,3
ORD_0088,SKU_0046,1,WP_0156,0,4
ORD_0092,SKU_0022,1,WP_0156,0,5
ORD_0319,SKU_0196,1,WP_0158,0,6
ORD_0056,SKU_0159,1,WP_0159,0,7
ORD_0319,SKU_0330,1,WP_0160,0,8
ORD_0251,SKU_0002,1,WP_0161,0,9
ORD_0330,SKU_0070,1,WP_0161,0,10
ORD_0330,SKU_0002,1,WP_0161,0,11
ORD_0056,SKU_0058,1,WP_0162,0,12
ORD_0056,SKU_0190,1,WP_0162,0,13
ORD_0288,SKU_0190,1,WP_0162,0,14
ORD_0421,SKU_0058,1,WP_0162,0,15
ORD_0224,SKU_0135,1,WP_0163,0,16
ORD_0180,SKU_0148,1,WP_0165,0,17
ORD_0156,SKU_0052,1,WP_0166,0,18
ORD_0300,SKU_0086,1,WP_0168,0,19
ORD_0095,SKU_0300,1,WP_0002,1,1
ORD_0008,SKU_0127,1,WP_0005,1,2
ORD_0076,SKU_0195,1,WP_0009,1,3
ORD_0086,SKU_0106,1,WP_0010,1,4
ORD_0189,SKU_0043,1,WP_0010,1,5
ORD_0086,SKU_0120,1,WP_0016,1,6
ORD_0076,SKU_0032,1,WP_0019,1,7
ORD_0095,SKU_0123,1,WP_0023,1,8
ORD_0008,SKU_0208,1,WP_0024,1,9
ORD_0189,SKU_0006,1,WP_0027,1,10
ORD_0086,SKU_0316,1,WP_0058,1,11
ORD_0095,SKU_0136,1,WP_0062,1,12
ORD_0189,SKU_0292,1,WP_0062,1,13
ORD_0008,SKU_0228,1,WP_0065,1,14
ORD_0008,SKU_0286,1,WP_0067,1,15
ORD_0076,SKU_0111,1,WP_0070,1,16
ORD_0008,SKU_0237,1,WP_0074,1,17
ORD_0086,SKU_0236,1,WP_0133,1,18
ORD_0095,SKU_0164,1,WP_0152,1,19
ORD_0005,SKU_0315,1,WP_0045,2,1
ORD_0054,SKU_0254,1,WP_0050,2,2
ORD_0467,SKU_0254,1,WP_0050,2,3
ORD_0418,SKU_0334,1,WP_0051,2,4
ORD_0467,SKU_0271,1,WP_0073,2,5
ORD_0418,SKU_0202,1,WP_0075,2,6
ORD_0005,SKU_0183,1,WP_0077,2,7
ORD_0005,SKU_0151,1,WP_0077,2,8
ORD_0054,SKU_0335,1,WP_0083,2,9
ORD_0467,SKU_0008,1,WP_0083,2,10
ORD_0005,SKU_0175,1,WP_0106,2,11
ORD_0054,SKU_0281,1,WP_0139,2,12
ORD_0259,SKU_0333,1,WP_0088,3,1
ORD_0069,SKU_0187,1,WP_0089,3,2
ORD_0259,SKU_0118,1,WP_0090,3,3
ORD_0066,SKU_0252,1,WP_0094,3,4
ORD_0259,SKU_0188,1,WP_0130,3,5
ORD_0066,SKU_0179,1,WP_0136,3,6
ORD_0069,SKU_0281,1,WP_0139,3,7
ORD_0106,SKU_0197,1,WP_0030,4,1
ORD_0106,SKU_0283,1,WP_0030,4,2
ORD_0186,SKU_0197,1,WP_0030,4,3
ORD_0191,SKU_0283,1,WP_0030,4,4
ORD_0390,SKU_0283,1,WP_0030,4,5
ORD_0107,SKU_0141,1,WP_0031,4,6
ORD_0380,SKU_0204,1,WP_0031,4,7
ORD_0380,SKU_0141,1,WP_0031,4,8
ORD_0340,SKU_0049,1,WP_0032,4,9
ORD_0340,SKU_0130,1,WP_0032,4,10
ORD_0261,SKU_0265,1,WP_0033,4,11
ORD_0450,SKU_0170,1,WP_0033,4,12
ORD_0450,SKU_0265,1,WP_0033,4,13
ORD_0283,SKU_0336,1,WP_0035,4,14
ORD_0472,SKU_0098,1,WP_0036,4,15
ORD_0407,SKU_0138,1,WP_0038,4,16
ORD_0283,SKU_0258,1,WP_0039,4,17
ORD_0283,SKU_0227,1,WP_0039,4,18
ORD_0295,SKU_0028,1,WP_0040,4,19
ORD_0009,SKU_0268,1,WP_0041,4,20
ORD_0407,SKU_0268,1,WP_0041,4,21
ORD_0407,SKU_0317,1,WP_0041,4,22
ORD_0186,SKU_0077,1,WP_0042,4,23
ORD_0283,SKU_0334,1,WP_0051,4,24
ORD_0450,SKU_0118,1,WP_0090,4,25
ORD_0407,SKU_0045,1,WP_0105,4,26
ORD_0340,SKU_0150,1,WP_0116,4,27
ORD_0407,SKU_0019,1,WP_0131,4,28
ORD_0106,SKU_0163,1,WP_0164,4,29
ORD_0217,SKU_0189,1,WP_0035,5,1
ORD_0333,SKU_0182,1,WP_0044,5,2
ORD_0233,SKU_0315,1,WP_0045,5,3
ORD_0233,SKU_0209,1,WP_0045,5,4
ORD_0297,SKU_0331,1,WP_0046,5,5
ORD_0361,SKU_0331,1,WP_0046,5,6
ORD_0374,SKU_0264,1,WP_0046,5,7
ORD_0016,SKU_0068,1,WP_0047,5,8
ORD_0016,SKU_0244,1,WP_0047,5,9
ORD_0016,SKU_0068,1,WP_0047,5,10
ORD_0263,SKU_0244,1,WP_0047,5,11
ORD_0217,SKU_0309,1,WP_0048,5,12
ORD_0217,SKU_0061,1,WP_0048,5,13
ORD_0217,SKU_0139,1,WP_0050,5,14
ORD_0176,SKU_0027,1,WP_0054,5,15
ORD_0176,SKU_0009,1,WP_0054,5,16
ORD_0374,SKU_0238,1,WP_0055,5,17
ORD_0233,SKU_0103,1,WP_0056,5,18
ORD_0233,SKU_0031,1,WP_0056,5,19
ORD_0449,SKU_0103,1,WP_0056,5,20
ORD_0233,SKU_0013,1,WP_0145,5,21
ORD_0217,SKU_0005,1,WP_0166,5,22
ORD_0152,SKU_0117,1,WP_0008,6,1
ORD_0185,SKU_0176,1,WP_0011,6,2
ORD_0152,SKU_0232,1,WP_0014,6,3
ORD_0152,SKU_0104,1,WP_0059,6,4
ORD_0185,SKU_0020,1,WP_0066,6,5
ORD_0152,SKU_0267,1,WP_0101,6,6
ORD_0185,SKU_0087,1,WP_0111,6,7
ORD_0152,SKU_0239,1,WP_0119,6,8
ORD_0185,SKU_0311,1,WP_0151,6,9
ORD_0181,SKU_0315,1,WP_0045,7,1
ORD_0059,SKU_0084,1,WP_0068,7,2
ORD_0059,SKU_0165,1,WP_0071,7,3
ORD_0110,SKU_0314,1,WP_0080,7,4
ORD_0135,SKU_0245,1,WP_0141,7,5
ORD_0236,SKU_0082,1,WP_0141,7,6
ORD_0365,SKU_0261,1,WP_0142,7,7
ORD_0337,SKU_0295,1,WP_0145,7,8
ORD_0059,SKU_0137,1,WP_0146,7,9
ORD_0059,SKU_0157,1,WP_0146,7,10
ORD_0181,SKU_0157,1,WP_0146,7,11
ORD_0059,SKU_0034,1,WP_0147,7,12
ORD_0166,SKU_0034,1,WP_0147,7,13
ORD_0067,SKU_0329,1,WP_0148,7,14
ORD_0084,SKU_0223,1,WP_0148,7,15
ORD_0181,SKU_0329,1,WP_0148,7,16
ORD_0181,SKU_0223,1,WP_0148,7,17
ORD_0368,SKU_0223,1,WP_0148,7,18
ORD_0110,SKU_0095,1,WP_0149,7,19
ORD_0110,SKU_0142,1,WP_0149,7,20
ORD_0116,SKU_0294,1,WP_0150,7,21
ORD_0310,SKU_0168,1,WP_0153,7,22
ORD_0310,SKU_0259,1,WP_0153,7,23
ORD_0165,SKU_0064,1,WP_0154,7,24
ORD_0067,SKU_0212,1,WP_0168,7,25
ORD_0024,SKU_0285,1,WP_0016,8,1
ORD_0188,SKU_0119,1,WP_0017,8,2
ORD_0351,SKU_0021,1,WP_0017,8,3
ORD_0013,SKU_0143,1,WP_0018,8,4
ORD_0378,SKU_0143,1,WP_0018,8,5
ORD_0460,SKU_0200,1,WP_0018,8,6
ORD_0373,SKU_0032,1,WP_0019,8,7
ORD_0027,SKU_0100,1,WP_0020,8,8
ORD_0188,SKU_0253,1,WP_0021,8,9
ORD_0289,SKU_0253,1,WP_0021,8,10
ORD_0438,SKU_0253,1,WP_0021,8,11
ORD_0415,SKU_0307,1,WP_0022,8,12
ORD_0438,SKU_0307,1,WP_0022,8,13
ORD_0444,SKU_0307,1,WP_0022,8,14
ORD_0289,SKU_0123,1,WP_0023,8,15
ORD_0289,SKU_0156,1,WP_0023,8,16
ORD_0357,SKU_0156,1,WP_0023,8,17
ORD_0077,SKU_0230,1,WP_0024,8,18
ORD_0077,SKU_0208,1,WP_0024,8,19
ORD_0351,SKU_0230,1,WP_0024,8,20
ORD_0459,SKU_0208,1,WP_0024,8,21
ORD_0459,SKU_0230,1,WP_0024,8,22
ORD_0037,SKU_0025,1,WP_0025,8,23
ORD_0197,SKU_0279,1,WP_0025,8,24
ORD_0435,SKU_0025,1,WP_0025,8,25
