ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ,PICKER_NO,BATCH_NO
ORD_0199,SKU_0075,1,WP_0043,1,1,1.0,8.0
ORD_0199,SKU_0069,1,WP_0043,1,2,1.0,8.0
ORD_0001,SKU_0246,1,WP_0049,1,3,1.0,8.0
ORD_0199,SKU_0246,1,WP_0049,1,4,1.0,8.0
ORD_0227,SKU_0254,1,WP_0050,1,5,1.0,8.0
ORD_0046,SKU_0016,1,WP_0053,1,6,1.0,8.0
ORD_0046,SKU_0251,1,WP_0053,1,7,1.0,8.0
ORD_0046,SKU_0293,1,WP_0063,1,8,1.0,8.0
ORD_0001,SKU_0267,1,WP_0101,1,9,1.0,8.0
ORD_0046,SKU_0018,1,WP_0102,1,10,1.0,8.0
ORD_0199,SKU_0050,1,WP_0103,1,11,1.0,8.0
ORD_0199,SKU_0284,1,WP_0103,1,12,1.0,8.0
ORD_0227,SKU_0201,1,WP_0104,1,13,1.0,8.0
ORD_0227,SKU_0262,1,WP_0104,1,14,1.0,8.0
ORD_0046,SKU_0303,1,WP_0118,1,15,1.0,8.0
ORD_0227,SKU_0248,1,WP_0142,1,16,1.0,8.0
ORD_0002,SKU_0156,1,WP_0023,2,1,1.0,12.0
ORD_0002,SKU_0123,1,WP_0023,2,2,1.0,12.0
ORD_0315,SKU_0254,1,WP_0050,2,3,1.0,12.0
ORD_0477,SKU_0334,1,WP_0051,2,4,1.0,12.0
ORD_0477,SKU_0299,1,WP_0051,2,5,1.0,12.0
ORD_0335,SKU_0155,1,WP_0055,2,6,1.0,12.0
ORD_0477,SKU_0172,1,WP_0106,2,7,1.0,12.0
ORD_0335,SKU_0216,1,WP_0108,2,8,1.0,12.0
ORD_0335,SKU_0205,1,WP_0109,2,9,1.0,12.0
ORD_0315,SKU_0320,1,WP_0112,2,10,1.0,12.0
ORD_0477,SKU_0225,1,WP_0121,2,11,1.0,12.0
ORD_0002,SKU_0063,1,WP_0137,2,12,1.0,12.0
ORD_0002,SKU_0047,1,WP_0137,2,13,1.0,12.0
ORD_0002,SKU_0005,1,WP_0166,2,14,1.0,12.0
ORD_0454,SKU_0120,1,WP_0016,3,1,1.0,7.0
ORD_0436,SKU_0119,1,WP_0017,3,2,1.0,7.0
ORD_0264,SKU_0143,1,WP_0018,3,3,1.0,7.0
ORD_0436,SKU_0143,1,WP_0018,3,4,1.0,7.0
ORD_0041,SKU_0032,1,WP_0019,3,5,1.0,7.0
ORD_0041,SKU_0101,1,WP_0019,3,6,1.0,7.0
ORD_0264,SKU_0280,1,WP_0021,3,7,1.0,7.0
ORD_0454,SKU_0280,1,WP_0021,3,8,1.0,7.0
ORD_0436,SKU_0025,1,WP_0025,3,9,1.0,7.0
ORD_0436,SKU_0040,1,WP_0049,3,10,1.0,7.0
ORD_0264,SKU_0299,1,WP_0051,3,11,1.0,7.0
ORD_0454,SKU_0015,1,WP_0078,3,12,1.0,7.0
ORD_0264,SKU_0186,1,WP_0131,3,13,1.0,7.0
ORD_0436,SKU_0256,1,WP_0133,3,14,1.0,7.0
ORD_0041,SKU_0213,1,WP_0135,3,15,1.0,7.0
ORD_0454,SKU_0213,1,WP_0135,3,16,1.0,7.0
ORD_0454,SKU_0076,1,WP_0165,3,17,1.0,7.0
ORD_0010,SKU_0100,1,WP_0020,4,1,3.0,9.0
ORD_0099,SKU_0307,1,WP_0022,4,2,3.0,9.0
ORD_0099,SKU_0219,1,WP_0022,4,3,3.0,9.0
ORD_0003,SKU_0272,1,WP_0026,4,4,3.0,9.0
ORD_0045,SKU_0089,1,WP_0027,4,5,3.0,9.0
ORD_0099,SKU_0178,1,WP_0060,4,6,3.0,9.0
ORD_0045,SKU_0277,1,WP_0061,4,7,3.0,9.0
ORD_0010,SKU_0286,1,WP_0067,4,8,3.0,9.0
ORD_0099,SKU_0149,1,WP_0069,4,9,3.0,9.0
ORD_0003,SKU_0057,1,WP_0070,4,10,3.0,9.0
ORD_0045,SKU_0173,1,WP_0147,4,11,3.0,9.0
ORD_0010,SKU_0259,1,WP_0153,4,12,3.0,9.0
ORD_0394,SKU_0326,1,WP_0015,5,1,1.0,15.0
ORD_0208,SKU_0101,1,WP_0019,5,2,1.0,15.0
ORD_0298,SKU_0093,1,WP_0020,5,3,1.0,15.0
ORD_0298,SKU_0100,1,WP_0020,5,4,1.0,15.0
ORD_0208,SKU_0089,1,WP_0027,5,5,1.0,15.0
